Dish Name,Ingredients (Tagalog),Instructions,Image Name,Cooking Time
Adobong Manok,"Manok, bawang, sibuyas, toyo, suka, laurel, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika hanggang magkulay ginto. Idagdag ang manok at lutuin hanggang mag-brown. Ihalo ang toyo, suka, laurel, paminta, at asin. Lutuin hanggang lumambot ang manok at magsabaw.",adobong_manok.jpg,1 oras
Adobong Baboy,"Baboy, bawang, sibuyas, toyo, suka, laurel, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at lutuin hanggang mag-brown. Haluin ang toyo, suka, laurel, paminta, at asin. Lutuin hanggang lumambot at magsabaw.",adobong_baboy.jpg,1.5 oras
Sinigang na Baboy,"Baboy, sampalok, sibuyas, kamatis, labanos, kangkong, sili, paminta, asin, tubig","Pakuluan ang baboy sa tubig hanggang lumambot. Idagdag ang sibuyas at kamatis, lutuin hanggang lumambot ang sibuyas. Idagdag ang sampalok, labanos, kangkong, sili, paminta, at asin. Lutuin hanggang sa maging maasim at malasa.",sinigang_na_baboy.jpg,1.5 oras
Kare-Kare,"Baka, bagoong, peanut butter, sitaw, talong, kalabasa, sibuyas, bawang, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baka at lutuin hanggang mag-brown. Haluin ang peanut butter, lutuin hanggang sa magsabaw. Idagdag ang sitaw, talong, kalabasa, paminta, asin, at bagoong. Lutuin hanggang maluto.",kare-kare.jpg,2 oras
Lechon Kawali,"Baboy (pata), bawang, paminta, asin, tubig, mantika","Pakuluan ang baboy sa tubig kasama ang bawang, paminta, at asin hanggang lumambot. Hayaang matuyo at i-prito sa mainit na mantika hanggang maging crispy.",lechon_kawali.jpg,1.5 oras
Lumpiang Shanghai,"Ground pork, bawang, sibuyas, carrots, singkamas, itlog, lumpia wrapper, asin, paminta, mantika","Igisa ang bawang at sibuyas, idagdag ang ground pork, lutuin hanggang mag-brown. Idagdag ang carrots at singkamas, lutuin hanggang maluto. Haluin ang itlog at asin, paminta. Balutin sa lumpia wrapper at i-prito sa mainit na mantika.",lumpiang_shanghai.jpg,30 minuto
Pancit Canton,"Pancit canton noodles, baboy, hipon, carrots, repolyo, sibuyas, bawang, toyo, asin, paminta, mantika","Igisa ang bawang at sibuyas sa mantika, idagdag ang baboy at hipon, lutuin hanggang mag-brown. Idagdag ang carrots at repolyo, lutuin hanggang maluto. Idagdag ang pancit canton, toyo, asin, at paminta. Haluin hanggang maghalo at luto.",pancit_canton.jpg,30 minuto
Pancit Bihon,"Pancit bihon noodles, baboy, hipon, carrots, repolyo, sibuyas, bawang, toyo, asin, paminta, mantika","Igisa ang bawang at sibuyas sa mantika, idagdag ang baboy at hipon, lutuin hanggang mag-brown. Idagdag ang carrots at repolyo, lutuin hanggang maluto. Idagdag ang pancit bihon, toyo, asin, at paminta. Haluin hanggang maghalo at luto.",pancit_bihon.jpg,30 minuto
Ginataang Baka,"Baka, gata ng niyog, sibuyas, bawang, luya, talong, sitaw, paminta, asin, mantika","Igisa ang bawang, sibuyas, at luya sa mantika. Idagdag ang baka, lutuin hanggang mag-brown. Idagdag ang gata ng niyog, lutuin hanggang magsabaw. Idagdag ang talong, sitaw, paminta, at asin. Lutuin hanggang lumambot ang baka.",ginataang_baka.jpg,1.5 oras
Ginataang Manok,"Manok, gata ng niyog, sibuyas, bawang, luya, sitaw, talong, paminta, asin, mantika","Igisa ang bawang, sibuyas, at luya sa mantika. Idagdag ang manok, lutuin hanggang mag-brown. Idagdag ang gata ng niyog, lutuin hanggang magsabaw. Idagdag ang sitaw, talong, paminta, at asin. Lutuin hanggang maluto ang manok.",ginataang_manok.jpg,1 oras
Chicken Curry,"Manok, curry powder, gata ng niyog, sibuyas, bawang, patatas, carrots, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang manok, lutuin hanggang mag-brown. Idagdag ang curry powder at gata ng niyog, lutuin hanggang magsabaw. Idagdag ang patatas at carrots, paminta, at asin. Lutuin hanggang malambot ang manok.",chicken_curry.jpg,1.5 oras
Crispy Pata,"Baboy (pata), bawang, paminta, asin, tubig, mantika","Pakuluan ang baboy sa tubig kasama ang bawang, paminta, at asin hanggang lumambot. Hayaang matuyo at i-prito sa mainit na mantika hanggang maging crispy.",crispy_pata.jpg,2 oras
Balut,"Itlog ng pato, asin, paminta","Pakuluan ang itlog ng pato hanggang maluto. Hayaang palamig, balatan, at timplahan ng asin at paminta bago kainin.",balut.jpg,30 minuto
Isaw,"Isaw ng manok, bawang, suka, toyo, asin, paminta, mantika","Hugasan ang isaw at i-marinate sa bawang, suka, toyo, asin, at paminta. I-prito sa mainit na mantika hanggang maging crispy.",isaw.jpg,30 minuto
Palaka,"Palaka, bawang, sibuyas, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika, idagdag ang palaka, lutuin hanggang mag-brown. Idagdag ang toyo, paminta, at asin. Lutuin hanggang maluto.",palaka.jpg,1 oras
Puto,"Bigas na harina, asukal, baking powder, gatas, itlog, mantika","Haluin ang bigas na harina, asukal, baking powder, at gatas. Idagdag ang itlog at mantika. I-steam sa loob ng hulmahang may mantika hanggang maging malambot.",puto.jpg,30 minuto
Bibingka,"Bigas na harina, asukal, itlog, gatas, levadura, mantika, keso, niyog","Haluin ang bigas na harina, asukal, itlog, gatas, at levadura. Idagdag ang mantika. I-bake sa oven sa hulmahang may mantika, idagdag ang keso at niyog, hanggang maging golden brown.",bibingka.jpg,1 oras
Bicol Express,"Baboy, gata ng niyog, sili, bagoong, bawang, sibuyas, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang gata ng niyog at bagoong, lutuin hanggang magsabaw. Idagdag ang sili, paminta, at asin. Lutuin hanggang lumambot ang baboy.",bicol_express.jpg,1 oras
Laing,"Dahon ng gabi, gata ng niyog, bagoong, bawang, sibuyas, paminta, asin","Igisa ang bawang at sibuyas sa mantika. Idagdag ang gata ng niyog at bagoong, lutuin hanggang magsabaw. Idagdag ang dahon ng gabi, paminta, at asin. Lutuin hanggang maluto ang dahon ng gabi.",laing.jpg,1 oras
Pritong Isda,"Isda, bawang, paminta, asin, mantika","Timplahan ang isda ng bawang, paminta, at asin. I-prito sa mainit na mantika hanggang maging crispy at golden brown.",pritong_isda.jpg,30 minuto
Paksiw na Lechon,"Lechon, suka, bawang, sibuyas, paminta, asin, laurel, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang lechon, suka, paminta, asin, at laurel. Lutuin hanggang lumambot at magsabaw.",paksiw_na_lechon.jpg,1 oras
Pork Binagoongan,"Baboy, bagoong, bawang, sibuyas, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang bagoong, paminta, at asin. Lutuin hanggang mag-brown at lumambot ang baboy.",pork_binagoongan.jpg,1 oras
Monggo,"Monggo beans, baboy, bawang, sibuyas, kamatis, paminta, asin, mantika","Pakuluan ang monggo beans hanggang lumambot. Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at lutuin hanggang mag-brown. Idagdag ang monggo beans, kamatis, paminta, at asin. Lutuin hanggang maghalo at malasa.",monggo.jpg,1 oras
Tapsilog,"Beef tapa, bawang, asin, paminta, suka, itlog, sinangag, mantika","Marinade ang beef tapa sa bawang, asin, paminta, at suka. I-prito ang beef tapa sa mainit na mantika hanggang mag-brown. Magluto ng itlog at sinangag. Ihain ang lahat ng sabay-sabay.",tapsilog.jpg,30 minuto
Dinuguan,"Baboy (atay, laman, dugo), bawang, sibuyas, paminta, asin, suka, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang dugo, suka, paminta, at asin. Lutuin hanggang magsabaw at malasa.",dinuguan.jpg,1 oras
Chopsuey,"Baboy, hipon, carrots, repolyo, sitaw, bawang, sibuyas, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at hipon, lutuin hanggang mag-brown. Idagdag ang carrots, repolyo, sitaw, toyo, paminta, at asin. Lutuin hanggang maluto.",chopsuey.jpg,30 minuto
Sotanghon,"Sotanghon noodles, baboy, hipon, carrots, repolyo, sibuyas, bawang, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at hipon, lutuin hanggang mag-brown. Idagdag ang carrots at repolyo, lutuin hanggang maluto. Idagdag ang sotanghon noodles, toyo, paminta, at asin. Haluin hanggang maghalo.",sotanghon.jpg,30 minuto
Halabos na Hipon,"Hipon, bawang, mantika, paminta, asin","Igisa ang bawang sa mantika hanggang mag-golden brown. Idagdag ang hipon, lutuin hanggang mag-pink. Timplahan ng paminta at asin, haluin hanggang maghalo at maluto.",halabos_na_hipon.jpg,20 minuto
Pochero,"Baboy, patatas, carrots, repolyo, saging na saba, tomato sauce, bawang, sibuyas, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang tomato sauce, patatas, carrots, repolyo, at saging na saba. Lutuin hanggang lumambot at magsabaw.",pochero.jpg,1.5 oras
La Paz Batchoy,"Baboy, atay, noodles, chicharr—n, sibuyas, bawang, paminta, asin, suka","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at atay, lutuin hanggang mag-brown. Idagdag ang noodles, paminta, asin, at suka. Lutuin hanggang maluto. Top with chicharr—n.",la_paz_batchoy.jpg,1 oras
Pancit Habhab,"Pancit habhab noodles, baboy, bawang, sibuyas, repolyo, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang pancit habhab, repolyo, toyo, paminta, at asin. Haluin hanggang maghalo at maluto.",pancit_habhab.jpg,30 minuto
Ginataang Langka,"Langka, gata ng niyog, baboy, sibuyas, bawang, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at lutuin hanggang mag-brown. Idagdag ang gata ng niyog at langka, paminta, at asin. Lutuin hanggang lumambot ang langka.",ginataang_langka.jpg,1 oras
Adobong Baboy sa Gata,"Baboy, gata ng niyog, bawang, sibuyas, toyo, suka, paminta, asin, laurel, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at lutuin hanggang mag-brown. Idagdag ang toyo, suka, laurel, paminta, at asin. Idagdag ang gata ng niyog, lutuin hanggang lumambot ang baboy at magsabaw.",adobong_baboy_sa_gata.jpg,1.5 oras
Bagnet,"Baboy, bawang, paminta, asin, tubig, mantika","Pakuluan ang baboy sa tubig kasama ang bawang, paminta, at asin hanggang lumambot. Hayaang matuyo at i-prito sa mainit na mantika hanggang maging crispy.",bagnet.jpg,2 oras
Tofu Sisig,"Tofu, sibuyas, bawang, sili, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang tofu at lutuin hanggang mag-brown. Idagdag ang sili, toyo, paminta, at asin. Lutuin hanggang maghalo at malasa.",tofu_sisig.jpg,30 minuto
Pinakbet,"Baboy, bagoong, sitaw, talong, kalabasa, kamatis, sibuyas, bawang, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at lutuin hanggang mag-brown. Idagdag ang kamatis, bagoong, sitaw, talong, at kalabasa. Timplahan ng paminta at asin, lutuin hanggang maluto ang mga gulay.",pinakbet.jpg,1 oras
Lumpiang Gulay,"Carrots, repolyo, singkamas, sibuyas, bawang, lumpia wrapper, asin, paminta, mantika","Igisa ang bawang at sibuyas, idagdag ang carrots, repolyo, at singkamas, lutuin hanggang maluto. Timplahan ng asin at paminta. Balutin sa lumpia wrapper at i-prito sa mainit na mantika hanggang maging golden brown.",lumpiang_gulay.jpg,30 minuto
Rellenong Manok,"Manok, pork ground, sibuyas, bawang, carrots, bell pepper, itlog, asin, paminta, mantika","I-remove ang buto ng manok at i-marinate. Igisa ang bawang at sibuyas sa mantika, idagdag ang pork ground, carrots, at bell pepper, lutuin hanggang mag-brown. I-stuff ang mixture sa loob ng manok, i-prito hanggang maging golden brown.",rellenong_manok.jpg,1.5 oras
Sizzling Pork Chop,"Pork chop, bawang, paminta, asin, soy sauce, sibuyas, bell pepper, mantika","Marinade ang pork chop sa bawang, paminta, asin, at soy sauce. I-grill o i-prito sa mantika hanggang mag-brown. Ihain sa sizzling plate kasama ang sibuyas at bell pepper.",sizzling_pork_chop.jpg,30 minuto
Bopis,"Atay ng baboy, baga, bawang, sibuyas, paminta, asin, suka, bell pepper","Igisa ang bawang at sibuyas sa mantika. Idagdag ang atay ng baboy at baga, lutuin hanggang mag-brown. Idagdag ang suka, paminta, at asin. Lutuin hanggang maghalo. Idagdag ang bell pepper bago ihain.",bopis.jpg,1 oras
Binatog,"Binatog (corn), asin, gata ng niyog","Pakuluan ang binatog, idagdag ang asin. I-serve na may gata ng niyog.",binatog.jpg,30 minut
Inihaw na Baboy,"Baboy, bawang, asin, paminta, suka, mantika","Marinade ang baboy sa bawang, asin, paminta, at suka. I-grill sa mainit na uling hanggang mag-brown at maluto.",inihaw_na_baboy.jpg,1 oras
Chopsuey na Pritong Isda,"Isda, baboy, carrots, repolyo, sitaw, bawang, sibuyas, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika, idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang isda, carrots, repolyo, at sitaw. Timplahan ng toyo, paminta, at asin. Lutuin hanggang maluto.",chopsuey_na_pritong_isda.jpg,30 minuto
Ginisang Munggo,"Munggo, baboy, bawang, sibuyas, kamatis, paminta, asin, mantika","Pakuluan ang munggo hanggang lumambot. Igisa ang bawang at sibuyas sa mantika, idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang munggo, kamatis, paminta, at asin. Lutuin hanggang maghalo at malasa.",ginisang_munggo.jpg,1 oras
Suman,"Bigas, gata ng niyog, asukal, dahon ng saging","Haluin ang bigas, gata ng niyog, at asukal. Balutin sa dahon ng saging at i-steam hanggang maluto.",suman.jpg,1 oras
Embutido,"Ground pork, itlog, bawang, sibuyas, carrots, bell pepper, raisins, cheese, asin, paminta, suka","Haluin ang ground pork, itlog, bawang, sibuyas, carrots, bell pepper, raisins, cheese, asin, paminta, at suka. I-wrap sa aluminum foil at i-steam o i-bake hanggang maluto.",embutido.jpg,1.5 oras
Bistek Tagalog,"Baka, bawang, sibuyas, toyo, calamansi, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baka at lutuin hanggang mag-brown. Idagdag ang toyo, calamansi, paminta, at asin. Lutuin hanggang lumambot ang baka.",bistek_tagalog.jpg,1 oras
Sinigang na Baboy sa Bayabas,"Baboy, bayabas, sibuyas, kamatis, labanos, kangkong, paminta, asin, tubig","Pakuluan ang baboy sa tubig hanggang lumambot. Idagdag ang sibuyas, kamatis, at bayabas, lutuin hanggang lumambot ang sibuyas. Idagdag ang labanos, kangkong, paminta, at asin. Lutuin hanggang mag-amoy bayabas at malasa.",sinigang_na_baboy_sa_bayabas.jpg,1.5 oras
Ginisang Ampalaya,"Ampalaya, baboy, bawang, sibuyas, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang ampalaya, paminta, at asin. Lutuin hanggang maluto ang ampalaya.",ginisang_ampalaya.jpg,30 minuto
Tinola,"Manok, luya, bawang, sibuyas, papaya, malunggay, paminta, asin, tubig","Pakuluan ang manok sa tubig kasama ang luya, bawang, at sibuyas. Idagdag ang papaya, lutuin hanggang malambot. Idagdag ang malunggay, paminta, at asin. Lutuin hanggang maghalo at malasa.",tinola.jpg,1 oras
Maja Blanca,"Cornstarch, gata ng niyog, asukal, gatas, vanilla extract","Haluin ang cornstarch, gata ng niyog, asukal, gatas, at vanilla extract. I-steam sa loob ng hulmahang may mantika hanggang magsalimuot. Hayaang lumamig at hiwain.",maja_blanca.jpg,1.5 oras
Arroz Caldo,"Bigas, manok, bawang, luya, sibuyas, paminta, asin, tubig, mantika","Igisa ang bawang, luya, at sibuyas sa mantika. Idagdag ang manok at lutuin hanggang mag-brown. Idagdag ang bigas at tubig, lutuin hanggang maging malapot. Timplahan ng paminta at asin.",arroz_caldo.jpg,1 oras
Daing na Bangus,"Bangus, suka, bawang, paminta, asin, asin","Marinade ang bangus sa suka, bawang, paminta, at asin. I-prito o i-grill hanggang mag-crispy.",daing_na_bangus.jpg,1 oras
Buko Salad,"Buko, gatas, condensed milk, asukal, nata de coco, fruit cocktail","Haluin ang buko, gatas, condensed milk, asukal, nata de coco, at fruit cocktail. Ihain na malamig.",buko_salad.jpg,20 minuto
Chicken Tinola,"Manok, luya, sibuyas, bawang, papaya, malunggay, paminta, asin, tubig","Pakuluan ang manok sa tubig kasama ang luya, sibuyas, at bawang. Idagdag ang papaya at lutuin hanggang malambot. Idagdag ang malunggay, paminta, at asin. Lutuin hanggang maghalo at malasa.",chicken_tinola.jpg,1 oras
Lata na Paborito,"Lata, bawang, sibuyas, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang lata, lutuin hanggang mag-brown. Idagdag ang toyo, paminta, at asin. Lutuin hanggang maghalo at malasa.",lata_na_paborito.jpg,30 minuto
Kutsinta,"Bigas na harina, asukal, tubig, lye water, gata ng niyog","Haluin ang bigas na harina, asukal, tubig, at lye water. I-steam sa hulmahang may mantika hanggang maluto.",kutsinta.jpg,30 minuto
Baked Macaroni,"Macaroni, ground beef, tomato sauce, gatas, keso, bawang, sibuyas, paminta, asin","Lutuin ang macaroni ayon sa pakete. Igisa ang bawang at sibuyas sa mantika, idagdag ang ground beef at lutuin hanggang mag-brown. Idagdag ang tomato sauce, gatas, paminta, at asin. Ilagay ang mixture sa baking dish, top with keso, at i-bake.",baked_macaroni.jpg,1 oras
Grilled Pork Belly,"Pork belly, bawang, asin, paminta, toyo, suka, mantika","Marinade ang pork belly sa bawang, asin, paminta, toyo, at suka. I-grill hanggang mag-brown at maluto.",grilled_pork_belly.jpg,1 oras
Sisig na Baboy,"Baboy (liver, baga), bawang, sibuyas, sili, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy, lutuin hanggang mag-brown. Idagdag ang sili, toyo, paminta, at asin. Lutuin hanggang maghalo at malasa.",sisig_na_baboy.jpg,30 minuto
Pritong Baboy,"Baboy, bawang, paminta, asin, tubig, mantika","Pakuluan ang baboy sa tubig kasama ang bawang, paminta, at asin hanggang lumambot. Hayaang matuyo at i-prito sa mantika hanggang mag-crispy.",pritong_baboy.jpg,1.5 oras
Manggang Hilaw,"Mangga, bagoong, calamansi, paminta, asin","Hiwa-hiwain ang mangga, i-serve na may bagoong, calamansi, paminta, at asin.",manggang_hilaw.jpg,10 minuto
Chicken Afritada,"Manok, patatas, carrots, bell pepper, tomato sauce, bawang, sibuyas, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang manok at lutuin hanggang mag-brown. Idagdag ang tomato sauce, patatas, carrots, bell pepper, paminta, at asin. Lutuin hanggang lumambot at mag-sabaw.",chicken_afritada.jpg,1 oras
Pancit Canton,"Pancit canton noodles, baboy, hipon, carrots, repolyo, bawang, sibuyas, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at hipon, lutuin hanggang mag-brown. Idagdag ang carrots, repolyo, toyo, paminta, at asin. Idagdag ang pancit canton noodles, lutuin hanggang maghalo.",pancit_canton.jpg,30 minuto
Tapsilog na Pritong Isda,"Isda, bawang, asin, paminta, itlog, sinangag, mantika","Timplahan ang isda ng bawang, asin, at paminta. I-prito sa mantika hanggang mag-crispy. Magluto ng itlog at sinangag. Ihain ang lahat ng sabay-sabay.",tapsilog_na_pritong_isda.jpg,30 minuto
Chopsuey na Pritong Baboy,"Baboy, carrots, repolyo, sitaw, bawang, sibuyas, toyo, paminta, asin, mantika","Igisa ang bawang at sibuyas sa mantika. Idagdag ang baboy at lutuin hanggang mag-brown. Idagdag ang carrots, repolyo, at sitaw, lutuin hanggang maluto. Timplahan ng toyo, paminta, at asin.",chopsuey_na_pritong_baboy.jpg,30 minuto
